date,cumulative,daily
2020-01-22,0,
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,1,1.0
2020-03-19,1,0.0
2020-03-20,1,0.0
2020-03-21,2,1.0
2020-03-22,2,0.0
2020-03-23,3,1.0
2020-03-24,4,1.0
2020-03-25,5,1.0
2020-03-26,5,0.0
2020-03-27,5,0.0
2020-03-28,5,0.0
2020-03-29,5,0.0
2020-03-30,5,0.0
2020-03-31,5,0.0
2020-04-01,6,1.0
2020-04-02,6,0.0
2020-04-03,6,0.0
2020-04-04,8,2.0
2020-04-05,9,1.0
2020-04-06,12,3.0
2020-04-07,17,5.0
2020-04-08,20,3.0
2020-04-09,21,1.0
2020-04-10,27,6.0
2020-04-11,30,3.0
2020-04-12,34,4.0
2020-04-13,39,5.0
2020-04-14,46,7.0
2020-04-15,50,4.0
2020-04-16,60,10.0
2020-04-17,75,15.0
2020-04-18,84,9.0
2020-04-19,91,7.0
2020-04-20,101,10.0
2020-04-21,110,9.0
2020-04-22,120,10.0
2020-04-23,127,7.0
2020-04-24,131,4.0
2020-04-25,140,9.0
2020-04-26,145,5.0
2020-04-27,152,7.0
2020-04-28,155,3.0
2020-04-29,163,8.0
2020-04-30,168,5.0
2020-05-01,170,2.0
2020-05-02,175,5.0
2020-05-03,177,2.0
2020-05-04,182,5.0
2020-05-05,183,1.0
2020-05-06,186,3.0
2020-05-07,199,13.0
2020-05-08,206,7.0
2020-05-09,214,8.0
2020-05-10,228,14.0
2020-05-11,239,11.0
2020-05-12,250,11.0
2020-05-13,269,19.0
2020-05-14,283,14.0
2020-05-15,298,15.0
2020-05-16,314,16.0
2020-05-17,328,14.0
2020-05-18,349,21.0
2020-05-19,370,21.0
2020-05-20,386,16.0
2020-05-21,408,22.0
2020-05-22,432,24.0
2020-05-23,452,20.0
2020-05-24,480,28.0
2020-05-25,501,21.0
2020-05-26,522,21.0
2020-05-27,544,22.0
2020-05-28,559,15.0
2020-05-29,582,23.0
2020-05-30,610,28.0
2020-05-31,650,40.0
2020-06-01,672,22.0
2020-06-02,709,37.0
2020-06-03,746,37.0
2020-06-04,781,35.0
2020-06-05,811,30.0
2020-06-06,846,35.0
2020-06-07,888,42.0
2020-06-08,930,42.0
2020-06-09,975,45.0
2020-06-10,1012,37.0
2020-06-11,1049,37.0
