date,location_name,daily_deaths,daily_deaths_unscaled,daily_infections
2020-02-12,Bangladesh,,,
2020-02-13,Bangladesh,,,
2020-02-14,Bangladesh,,,
2020-02-15,Bangladesh,,,
2020-02-16,Bangladesh,,,
2020-02-17,Bangladesh,,,
2020-02-18,Bangladesh,,,
2020-02-19,Bangladesh,,,
2020-02-20,Bangladesh,,,
2020-02-21,Bangladesh,,,
2020-02-22,Bangladesh,,,
2020-02-23,Bangladesh,,,
2020-02-24,Bangladesh,,,
2020-02-25,Bangladesh,,,
2020-02-26,Bangladesh,,,
2020-02-27,Bangladesh,,,
2020-02-28,Bangladesh,,,
2020-02-29,Bangladesh,,,
2020-03-01,Bangladesh,,,
2020-03-02,Bangladesh,,,
2020-03-03,Bangladesh,,,
2020-03-04,Bangladesh,,,
2020-03-05,Bangladesh,,,
2020-03-06,Bangladesh,,,
2020-03-07,Bangladesh,,,
2020-03-08,Bangladesh,0.0,0.0,3.0
2020-03-09,Bangladesh,0.0,0.0,0.0
2020-03-10,Bangladesh,0.0,0.0,0.0
2020-03-11,Bangladesh,0.0,0.0,0.0
2020-03-12,Bangladesh,0.0,0.0,0.0
2020-03-13,Bangladesh,0.0,0.0,0.0
2020-03-14,Bangladesh,0.0,0.0,0.0
2020-03-15,Bangladesh,0.0,0.0,2.0
2020-03-16,Bangladesh,0.0,0.0,3.0
2020-03-17,Bangladesh,0.0,0.0,2.0
2020-03-18,Bangladesh,7.89,1.0,4.0
2020-03-19,Bangladesh,0.0,0.0,3.0
2020-03-20,Bangladesh,0.0,0.0,3.0
2020-03-21,Bangladesh,7.89,1.0,5.0
2020-03-22,Bangladesh,0.0,0.0,2.0
2020-03-23,Bangladesh,7.89,1.0,6.0
2020-03-24,Bangladesh,7.89,1.0,6.0
2020-03-25,Bangladesh,7.89,1.0,0.0
2020-03-26,Bangladesh,0.0,0.0,5.0
2020-03-27,Bangladesh,0.0,0.0,4.0
2020-03-28,Bangladesh,0.0,0.0,0.0
2020-03-29,Bangladesh,0.0,0.0,0.0
2020-03-30,Bangladesh,0.0,0.0,1.0
2020-03-31,Bangladesh,0.0,0.0,2.0
2020-04-01,Bangladesh,7.89,1.0,3.0
2020-04-02,Bangladesh,0.0,0.0,2.0
2020-04-03,Bangladesh,0.0,0.0,5.0
2020-04-04,Bangladesh,15.78,2.0,9.0
2020-04-05,Bangladesh,7.89,1.0,18.0
2020-04-06,Bangladesh,23.66,3.0,35.0
2020-04-07,Bangladesh,39.44,5.0,41.0
2020-04-08,Bangladesh,23.66,3.0,54.0
2020-04-09,Bangladesh,7.89,1.0,112.0
2020-04-10,Bangladesh,47.33,6.0,94.0
2020-04-11,Bangladesh,23.66,3.0,58.0
2020-04-12,Bangladesh,31.55,4.0,139.0
2020-04-13,Bangladesh,39.44,5.0,182.0
2020-04-14,Bangladesh,55.22,7.0,209.0
2020-04-15,Bangladesh,31.55,4.0,219.0
2020-04-16,Bangladesh,78.88,10.0,341.0
2020-04-17,Bangladesh,118.32,15.0,266.0
2020-04-18,Bangladesh,70.99,9.0,306.0
2020-04-19,Bangladesh,55.22,7.0,312.0
2020-04-20,Bangladesh,78.88,10.0,492.0
2020-04-21,Bangladesh,70.99,9.0,434.0
2020-04-22,Bangladesh,78.88,10.0,390.0
2020-04-23,Bangladesh,55.22,7.0,414.0
2020-04-24,Bangladesh,31.55,4.0,503.0
2020-04-25,Bangladesh,70.99,9.0,309.0
2020-04-26,Bangladesh,39.44,5.0,418.0
2020-04-27,Bangladesh,55.22,7.0,497.0
2020-04-28,Bangladesh,23.66,3.0,549.0
2020-04-29,Bangladesh,63.11,8.0,641.0
2020-04-30,Bangladesh,39.44,5.0,564.0
2020-05-01,Bangladesh,15.78,2.0,571.0
2020-05-02,Bangladesh,39.44,5.0,552.0
2020-05-03,Bangladesh,15.78,2.0,665.0
2020-05-04,Bangladesh,39.44,5.0,688.0
2020-05-05,Bangladesh,7.89,1.0,786.0
2020-05-06,Bangladesh,23.66,3.0,790.0
2020-05-07,Bangladesh,102.55,13.0,706.0
2020-05-08,Bangladesh,55.22,7.0,709.0
2020-05-09,Bangladesh,63.11,8.0,636.0
2020-05-10,Bangladesh,110.44,14.0,887.0
2020-05-11,Bangladesh,86.77,11.0,1034.0
2020-05-12,Bangladesh,86.77,11.0,969.0
2020-05-13,Bangladesh,149.88,19.0,1162.0
2020-05-14,Bangladesh,110.44,14.0,1041.0
2020-05-15,Bangladesh,118.32,15.0,1202.0
2020-05-16,Bangladesh,126.21,16.0,930.0
2020-05-17,Bangladesh,110.44,14.0,1273.0
2020-05-18,Bangladesh,165.65,21.0,1602.0
2020-05-19,Bangladesh,165.65,21.0,1251.0
2020-05-20,Bangladesh,126.21,16.0,1617.0
2020-05-21,Bangladesh,173.54,22.0,1773.0
2020-05-22,Bangladesh,189.32,24.0,1694.0
2020-05-23,Bangladesh,157.77,20.0,1873.0
2020-05-24,Bangladesh,220.87,28.0,1532.0
2020-05-25,Bangladesh,165.65,21.0,1975.0
2020-05-26,Bangladesh,165.65,21.0,1166.0
2020-05-27,Bangladesh,173.54,22.0,1541.0
2020-05-28,Bangladesh,118.32,15.0,2029.0
2020-05-29,Bangladesh,181.43,23.0,2523.0
2020-05-30,Bangladesh,220.87,28.0,1764.0
2020-05-31,Bangladesh,315.53,40.0,2545.0
2020-06-01,Bangladesh,173.54,22.0,2381.0
2020-06-02,Bangladesh,291.87,37.0,2911.0
2020-06-03,Bangladesh,291.87,37.0,2695.0
2020-06-04,Bangladesh,276.09,35.0,2423.0
2020-06-05,Bangladesh,236.65,30.0,2828.0
2020-06-06,Bangladesh,276.09,35.0,2635.0
2020-06-07,Bangladesh,331.31,42.0,2743.0
2020-06-08,Bangladesh,331.31,42.0,2735.0
2020-06-09,Bangladesh,354.97,45.0,3171.0
2020-06-10,Bangladesh,291.87,37.0,3190.0
2020-06-11,Bangladesh,291.87,37.0,3187.0
2020-06-12,Bangladesh,362.86,46.0,3471.0
2020-06-13,Bangladesh,347.08,44.0,2856.0
2020-06-14,Bangladesh,252.43,32.0,3141.0
2020-06-15,Bangladesh,299.75,38.0,3099.0
2020-06-16,Bangladesh,418.08,53.0,3862.0
2020-06-17,Bangladesh,339.2,43.0,4008.0
2020-06-18,Bangladesh,299.75,38.0,3803.0
2020-06-19,Bangladesh,354.97,45.0,3243.0
2020-06-20,Bangladesh,291.87,37.0,3240.0
2020-06-21,Bangladesh,307.64,39.0,3531.0
2020-06-22,Bangladesh,299.75,38.0,3480.0
2020-06-23,Bangladesh,339.2,43.0,3412.0
2020-06-24,Bangladesh,291.87,37.0,3462.0
2020-06-25,Bangladesh,307.64,39.0,3946.0
2020-06-26,Bangladesh,315.53,40.0,3868.0
2020-06-27,Bangladesh,268.2,34.0,3504.0
2020-06-28,Bangladesh,339.2,43.0,3809.0
2020-06-29,Bangladesh,354.97,45.0,4014.0
2020-06-30,Bangladesh,504.85,64.0,3682.0
2020-07-01,Bangladesh,323.42,41.0,3775.0
2020-07-02,Bangladesh,299.75,38.0,4019.0
2020-07-03,Bangladesh,331.31,42.0,3114.0
2020-07-04,Bangladesh,228.76,29.0,3288.0
2020-07-05,Bangladesh,433.86,55.0,2738.0
2020-07-06,Bangladesh,347.08,44.0,3201.0
2020-07-07,Bangladesh,433.86,55.0,3027.0
2020-07-08,Bangladesh,362.86,46.0,3489.0
2020-07-09,Bangladesh,323.42,41.0,3360.0
2020-07-10,Bangladesh,291.87,37.0,2949.0
2020-07-11,Bangladesh,236.65,30.0,2686.0
2020-07-12,Bangladesh,370.75,47.0,2666.0
2020-07-13,Bangladesh,307.64,39.0,3099.0
2020-07-14,Bangladesh,260.31,33.0,3163.0
2020-07-15,Bangladesh,260.31,33.0,3533.0
2020-07-16,Bangladesh,307.64,39.0,2733.0
2020-07-17,Bangladesh,402.3,51.0,3034.0
2020-07-18,Bangladesh,268.2,34.0,2709.0
2020-07-19,Bangladesh,291.87,37.0,2459.0
2020-07-20,Bangladesh,394.41,50.0,2928.0
2020-07-21,Bangladesh,323.42,41.0,3057.0
2020-07-22,Bangladesh,331.31,42.0,2744.0
2020-07-23,Bangladesh,394.41,50.0,2856.0
2020-07-24,Bangladesh,276.09,35.0,2548.0
2020-07-25,Bangladesh,299.75,38.0,2520.0
2020-07-26,Bangladesh,425.97,54.0,2275.0
2020-07-27,Bangladesh,291.87,37.0,2772.0
2020-07-28,Bangladesh,276.09,35.0,2960.0
